// Data from Bruin-Najman 2019, "Hyperelliptic modular curves X0(N) and isogenies of elliptic curves over quadratic fields"
// This includes only non-cuspidal rational or (conjugacy classes of) sporadic quadratic points
// Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'28.48.2.1' | 2 | '2.0.23.1' | [73951848116651/279936, -133689253600013/279936] | '2.0.23.1' | 'No' | 0 | []
'28.48.2.1' | 2 | '2.0.23.1' | [-374086572953648785/2928229434235008, 413197302910024471/2928229434235008] | '2.0.23.1' | 'No' | 0 | []
'28.48.2.1' | 2 | '2.0.23.1' | [-374086572953648785/2928229434235008, 413197302910024471/2928229434235008] | '2.0.23.1' | 'No' | 0 | []
'29.30.2.1' | 2 | '2.0.4.1' | [-12, 59] | '2.0.4.1' | 'No' | 0 | []
'29.30.2.1' | 2 | '2.0.4.1' | [-321016092, 278824619] | '2.0.4.1' | 'No' | 0 | []
'29.30.2.1' | 2 | '2.0.7.1' | [-1403, 697/2] | '2.0.7.1' | 'No' | 0 | []
'29.30.2.1' | 2 | '2.0.7.1' | [-1520791095258827/268435456, 2243516025815593/536870912] | '2.0.7.1' | 'No' | 0 | []
'30.72.3.1' | 3 | '2.2.5.1' | [-52515, -85995] | '2.2.5.1' | 'Yes' | -15 | [6]
'30.72.3.1' | 3 | '2.2.5.1' | [26786530035, -16554983445] | '2.2.5.1' | 'Yes' | -60 | [6]
'30.72.3.1' | 3 | '2.0.7.1' | [69363/8, 101277/8] | '2.0.7.1' | 'No' | 0 | [6]
'30.72.3.1' | 3 | '2.0.7.1' | [215055/64, -74493/64] | '2.0.7.1' | 'No' | 0 | [6]
'30.72.3.1' | 3 | '2.0.7.1' | [-104238464625/32768, 96294940803/32768] | '2.0.7.1' | 'No' | 0 | [6]
'30.72.3.1' | 3 | '2.0.7.1' | [1395317825487/1073741824, 1332509255523/1073741824] | '2.0.7.1' | 'No' | 0 | [6]
'31.32.2.1' | 2 | '2.0.3.1' | [71226886125, -34268314375] | '2.0.3.1' | 'No' | 0 | []
'31.32.2.1' | 2 | '2.0.3.1' | [-375, 125] | '2.0.3.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.8.1' | [-73002, 85169/2] | '2.0.8.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.8.1' | [-9381, -47081/4] | '2.0.8.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.8.1' | [28696641339/16, -4691464169/64] | '2.0.8.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.8.1' | [853719/32768, -84809119/131072] | '2.0.8.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | -8 | []
'33.48.3.1' | 3 | '2.0.8.1' | [8000] | '1.1.1.1' | 'Yes' | -8 | []
'33.48.3.1' | 3 | '2.0.7.1' | [453, -263/2] | '2.0.7.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.7.1' | [349159757/4, 424896929/8] | '2.0.7.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.7.1' | [51999917/1024, 14067329/2048] | '2.0.7.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.7.1' | [-1095231860667/4294967296, 19838216722297/8589934592] | '2.0.7.1' | 'No' | 0 | []
'33.48.3.1' | 3 | '2.0.11.1' | [-32768] | '1.1.1.1' | 'Yes' | -11 | []
'35.48.3.1' | 3 | '2.2.5.1' | [-32604160, -52756480] | '2.2.5.1' | 'Yes' | -35 | []
'39.56.3.1' | 3 | '2.0.3.1' | [0] | '1.1.1.1' | 'Yes' | -3 | []
'39.56.3.1' | 3 | '2.0.3.1' | [-12288000] | '1.1.1.1' | 'Yes' | -27 | []
'39.56.3.1' | 3 | '2.0.7.1' | [-154845/8, 284931/8] | '2.0.7.1' | 'No' | 0 | [3]
'39.56.3.1' | 3 | '2.0.7.1' | [-65033923835925/549755813888, 167371429164111/549755813888] | '2.0.7.1' | 'No' | 0 | [3]
'40.72.3.3' | 3 | '2.0.4.1' | [287496] | '1.1.1.1' | 'Yes' | -16 | []
'40.72.3.3' | 3 | '2.0.4.1' | [287496] | '1.1.1.1' | 'Yes' | -16 | []
'41.42.3.1' | 3 | '2.0.4.1' | [-16227/2, -6561/2] | '2.0.4.1' | 'No' | 0 | []
'41.42.3.1' | 3 | '2.0.4.1' | [58093572573/2097152, -204153832161/2097152] | '2.0.4.1' | 'No' | 0 | []
'46.72.5.1' | 5 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'46.72.5.1' | 5 | '2.0.7.1' | [-3375] | '1.1.1.1' | 'Yes' | -7 | []
'50.90.2.1' | 2 | '2.0.4.1' | [1728] | '1.1.1.1' | 'Yes' | -4 | []
'50.90.2.1' | 2 | '2.0.4.1' | [287496] | '1.1.1.1' | 'Yes' | -4 | []
'50.90.2.1' | 2 | '2.0.7.1' | [11043/22, 28431/44] | '2.0.7.1' | 'No' | 0 | []
'50.90.2.1' | 2 | '2.0.7.1' | [-2474361/121, -6908733/242] | '2.0.7.1' | 'No' | 0 | []
'50.90.2.1' | 2 | '2.0.7.1' | [472590776431562248323/6192449487634432, 7572746868171081826671/12384898975268864] | '2.0.7.1' | 'No' | 0 | []
'50.90.2.1' | 2 | '2.0.7.1' | [-1506355663846352551641/2030043136, 1893176349653024503587/4060086272] | '2.0.7.1' | 'No' | 0 | []
